"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Anaba Ancestor","hml","Near Mint","English","","","2023-04-12 20:57:54.780000","65","False","False",""
"7","7","Anaba Bodyguard","hml","Near Mint","English","","","2023-04-12 20:55:38.250000","66b","False","False",""
"11","11","Anaba Bodyguard","hml","Near Mint","English","","","2023-04-12 20:55:32.833000","66a","False","False",""
"18","18","Anaba Shaman","hml","Near Mint","English","","","2023-04-12 20:55:07.313000","67a","False","False",""
"6","6","Anaba Shaman","hml","Near Mint","English","","","2023-04-12 20:55:14.337000","67b","False","False",""
"3","3","Anaba Spirit Crafter","hml","Near Mint","English","","","2023-04-12 20:58:36.757000","68","False","False",""
"1","1","Anafenza, Kin-Tree Spirit","mul","Near Mint","English","","","2023-04-26 19:48:35.133000","1","False","False",""
"2","2","Ancestral Katana","neo","Near Mint","English","","","2023-05-25 05:44:09.720000","1","False","False",""
"2","2","Ancestral Mask","ema","Near Mint","English","","","2023-07-28 10:00:32.490000","157","False","False",""
"1","1","Ancestral Memories","mir","Near Mint","English","","","2023-01-21 07:58:59.383000","52","False","False",""
"1","1","Anchor to Reality","neo","Mint","English","","","2023-01-26 07:12:47.897000","45","False","False",""
"1","1","Ancient Animus","dom","Near Mint","English","","","2023-03-22 13:13:14.310000","154","False","False",""
"1","1","Ancient Copper Dragon","clb","Near Mint","English","","","2023-06-17 17:03:05.287000","161","False","False",""
"3","3","Ancient Copper Dragon","pclb","Near Mint","English","foil","","2023-10-21 17:33:24.183000","161s","False","True",""
"1","1","Ancient Crab","akh","Near Mint","German","","","2023-07-03 07:31:27.413000","40","False","False",""
"1","1","Ancient Den","mb1","Near Mint","English","","","2023-05-24 13:17:38.610000","1652","False","True",""
"1","1","Ancient Greenwarden","pznr","Near Mint","English","","","2023-06-17 18:13:40.027000","178p","False","True",""
"1","1","Ancient Greenwarden","znr","Near Mint","English","","","2023-06-17 16:45:49.500000","178","False","False",""
"1","1","Ancient Imperiosaur","mom","Near Mint","English","","","2023-04-21 15:45:49.797000","368","False","False",""
"2","2","Ancient Silver Dragon","pclb","Near Mint","English","foil","","2023-10-21 17:25:26.460000","56s","False","True",""
"1","1","Ancient Silver Dragon","clb","Near Mint","English","","","2023-06-17 16:40:50.437000","366","False","False",""
"8","8","Ancient Tomb","wc99","Near Mint","English","","","2023-10-21 18:58:52.850000","kb315","False","True",""
"1","1","Ancient Tomb","tmp","Near Mint","English","","","2023-06-17 17:09:27.977000","315","False","False",""
"1","1","Angelic Cub","j22","Mint","English","","","2023-01-26 07:57:06.683000","2","False","False",""
"1","1","Angelic Field Marshal","cmm","Near Mint","English","","","2023-08-10 10:48:30.470000","13","False","False",""
"1","1","Angelic Protector","j22","Mint","English","","","2023-01-21 13:13:55.757000","147","False","False",""
"2","2","Anguished Unmaking","psoi","Near Mint","English","foil","","2023-06-17 18:15:03.880000","242s","False","True",""
"1","1","An-Havva Constable","hml","Near Mint","English","","","2023-03-04 18:39:41.970000","81","False","False",""
"7","7","An-Havva Inn","hml","Near Mint","English","","","2023-03-04 18:37:37.467000","82","False","False",""
"8","8","An-Havva Township","hml","Near Mint","English","","","2023-03-03 19:52:23.430000","111","False","False",""
"1","1","Animate Artifact","4ed","Near Mint","English","","","2023-03-04 19:34:22.163000","60","False","False",""
"1","1","Animate Dead","3ed","Played","English","","","2023-01-21 18:05:25.100000","93","False","False",""
"1","1","Animist's Awakening","ori","Near Mint","English","","","2023-10-16 11:53:11.537000","169","False","False",""
"1","1","Ankh of Mishra","4ed","Near Mint","English","","","2023-10-16 11:47:59.600000","294","False","False",""
"2","2","Annex Sentry","one","Near Mint","English","","","2023-02-09 09:24:30.740000","2","False","False",""
"1","1","Annihilating Glare","one","Near Mint","English","","","2023-02-04 11:26:45.973000","80","False","False",""
"2","2","Anoint","tmp","Near Mint","English","","","2023-04-13 07:19:58.163000","3","False","False",""
"2","2","Anoint with Affliction","one","Near Mint","English","","","2023-02-09 10:00:54.770000","81","False","False",""
"1","1","Anointed Procession","pakh","Near Mint","English","foil","","2023-06-17 18:15:25.073000","2s","False","True",""
"1","1","Anointed Procession","akh","Near Mint","English","","","2023-06-17 16:46:12.603000","2","False","False",""
"1","1","Anvil of Bogardan","vis","Near Mint","English","","","2023-01-21 07:58:59.383000","141","False","False",""
"4","4","An-Zerrin Ruins","hml","Near Mint","English","","","2023-01-26 07:56:03.763000","64","False","False",""
"1","1","Apes of Rath","tmp","Near Mint","English","","","2023-04-11 12:58:44.870000","214","False","False",""
"1","1","Apex Altisaur","c19","Near Mint","English","","","2023-05-24 12:24:47.370000","31","False","False",""
"2","2","Apex Altisaur","c19","Near Mint","English","","","2023-10-21 18:16:41.623000","31","False","True",""
